Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Operating Status,Full Description,Last Funding Type,Headquarters Location,Headquarters Regions,Description,Founded Date,Founded Date Precision,Industry Groups,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Top 5 Investors,IPO Status,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Website,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Investment Stage,Investor Type,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Acquisition Status,Number of Acquisitions,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (Company),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags
Tango,https://www.crunchbase.com/organization/tango-b25e,19700000,USD,19700000,Active,"Tango allows you to automatically create beautiful step-by-step guides with screenshots, in seconds. It's really that easy! Just hit ‘capture’ and we do the rest - Tango captures your workflow, generating screenshots and automated descriptions of even your most complicated processes.",Series A,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US","Tango is a web browser extension for automatically capturing screenshots for training guides, workflows, and how to's",2020-01-01,year,Software,"Enterprise Software, Software",2022-06-15,14000000,USD,14000000,19700000,USD,19700000,"General Catalyst, Alumni Ventures, Tiger Global Management, Wing Venture Capital, Red Sea Ventures",Private,,,,https://tango.us,,,,,,,For Profit,https://twitter.com/Tango_HQ,,https://www.linkedin.com/company/trytango/,hello@tango.us,,,,,,,,,,,,,,,,,,,,,,3,"Brian Shultz, Daniel Giovacchini, Ken Babcock",11-50,2,Early Stage Venture,14000000,USD,14000000,Series A,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,"7,394","7,372",,0.5,0.7,4.8,3,"Engineering, Management, Operations",6,,"402,262","355,297.17",10.37%,495,8.32%,1.75,-3.04%,67.23%,3.46%,"144,668","-12,775",-8.11%,,,,22,0,0,,Basic staples,,,,,
Verana Networks,https://www.crunchbase.com/organization/verana-networks,24550000,USD,24550000,Active,"Verana Networks develops an innovative 5G Radio Access Network solution for service providers that have licensed millimeter wave (mmWave) spectrum. The company focuses on enabling 5G in mmWave spectrum because that is where the largest amount of new spectrum is. For 5G to succeed, it must deliver a 10X-50X increase in speed and capacity. Blazing fast speed and an increase in capacity enable new applications, these new applications create incremental revenue, and incremental revenue is essential to support the business case for 5G.",Venture - Series Unknown,"Waltham, Massachusetts, United States","Greater Boston Area, East Coast, New England",Verana Networks develops an innovative 5G Radio Access Network solution for service providers.,2019-01-01,year,"Hardware, Mobile","Mobile, Telecommunications, Wireless",2023-02-02,,,,20050000,USD,20050000,"Lockheed Martin Ventures, Bold Capital Partners, Taiwania Capital Management Corporation, TDK Ventures, Spark Capital",Private,,,,https://www.verananetworks.com/,,,,,,,For Profit,,,https://www.linkedin.com/company/verana-networks,info@verananetworks.com,,8,,,,,,,,,,,,,,,,,,,,2,"Amit Jain, Vedat Eyuboglu",1-10,5,,,,,Venture - Series Unknown,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,"7,398","7,376",,-1.7,-2,7.4,10,"Engineering, Information Technology, Management, Medical & Science, Operations, Product",12,,,,,,,,,,,,,,22,,,,,,,,,,,,
Latitude,https://www.crunchbase.com/organization/latitude-9172,4050000,USD,4050000,Active,Latitude develops AI-powered games designed for player freedom and self-expression. Latitude is the creator of AI Dungeon.,Seed,"Provo, Utah, United States",Western US,Latitude develops AI-powered games designed for player freedom and self-expression.,2019-12-01,month,"Artificial Intelligence, Data and Analytics, Gaming, Science and Engineering, Software","Artificial Intelligence, Software, Video Games",2021-02-04,3300000,USD,3300000,4050000,USD,4050000,"NFX, Griffin Gaming Partners, Album VC",Private,,,,https://latitude.io,,$1M to $10M,,,,,For Profit,https://twitter.com/AiDungeon,,https://www.linkedin.com/company/latitude-games,contact-us@latitude.io,(801) 203-0065,8,,,,,,,,,,,,,,,,,,,,2,"Alan Walton, Nick Walton",1-10,3,Seed,3300000,USD,3300000,Seed,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,"7,406","7,384",,0.4,4.2,5.9,5,"Management, Marketing, Product",4,,"157,935","429,949.5",-48.18%,74,-61.86%,1.26,0.4%,82.28%,-0.39%,"290,675","110,621",61.44%,32,,,7,0,1,,Scientific and electric apparatus and instruments,,,,,
Akia,https://www.crunchbase.com/organization/akia,7100000,USD,7100000,Active,"Akia develops an AI-powered hotel messaging platform for hotels to engage with their guests. Its platform utilizes chat and artificial intelligence to streamline operations and facilitate contactless options for check-in, on-property communications, and reputation management.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Akia develops an AI-powered hotel messaging platform for hotels to engage with their guests.,2019-06-01,month,"Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Travel and Tourism","Customer Service, Hotel, Information Technology, Messaging, Travel",2023-01-19,6000000,USD,6000000,7100000,USD,7100000,"Right Side Capital Management, GSR Ventures, Altos Ventures",Private,,,,https://akia.com,Women Founded,,,,,,For Profit,https://www.twitter.com/akiasynd,https://www.facebook.com/akiasynd,https://www.linkedin.com/company/akia-ai/,help@akia.com,(650) 769-5688,5,,,,,,,,,,,,,,,,,,,,3,"Evan Chen, Ryan Kanoknukulchai, Yinshi Zhang",1-10,3,Early Stage Venture,6000000,USD,6000000,Series A,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,"7,407","7,385",,-1.3,-2.2,8.1,10,"Engineering, Management, Operations",3,,"17,221","41,496",84.08%,"1,317","3,365.79%",1.49,-12.75%,64.83%,21.31%,"1,401,716","-596,540",-29.85%,33,2,,,,,,,,,,,
SafeBase,https://www.crunchbase.com/organization/safebase-ffd0,20125000,USD,20125000,Active,"Our Smart Trust Center makes it easy to build trust with current and prospective customers. Answer security questions, showcase your security posture, and share sensitive documents—all in one place.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",The Smart Trust Center for sharing your security posture and automating access to sensitive documents.,2020-01-01,day,"Information Technology, Privacy and Security, Sales and Marketing, Software","Cloud Security, Cyber Security, Network Security, Sales Automation",2022-03-10,18000000,USD,18000000,20125000,USD,20125000,"Y Combinator, New Enterprise Associates, NFX, Four Cities Capital, UpHonest Capital",Private,,,,https://safebase.io,,,,,,,For Profit,,,https://www.linkedin.com/company/safebase,info@safebase.co,,,,,,,,,,,,,,,,,,,,,,3,"Adar Arnon, Al Yang, Stan Chang",11-50,4,Early Stage Venture,18000000,USD,18000000,Series A,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,"7,415","7,393",,1.3,5,4.7,7,"Engineering, Management, Operations",7,,"11,160","8,846.17",211.56%,"1,949","5,722.22%",1.93,92.75%,45.03%,-54.97%,"1,776,272","-1,886,155",-51.5%,36,,,,0,1,,Scientific and technological services,,,,,
HUMBL,https://www.crunchbase.com/organization/humbl,20000000,USD,20000000,Active,"HUMBL provides merchant services software that is being developed to accommodate the migration by governments to digital forms of their national currency, as well as key functions like cross-border remittance, foreign exchange, bill payment, and lending products from smartphones.",Post-IPO Equity,"San Diego, California, United States","Greater San Diego Area, West Coast, Western US",HUMBL provides merchant services software which is being developed to accommodate the migration by governments to digital forms.,2019-01-01,year,"Financial Services, Mobile, Payments, Software","Financial Services, FinTech, Mobile Payments, Software",2022-12-12,20000000,USD,20000000,20000000,USD,20000000,"GHS Investments, CYBERBEAT",Public,,,,https://www.humblpay.com,,,2020-11-11,day,,,For Profit,https://twitter.com/humblpay,https://www.facebook.com/HUMBLinc,https://www.linkedin.com/company/humbl-llc,social@humblpay.com,,29,,,,,,,,,,,,,,,,,,,,3,"Brian McLaren Foote, Jeffrey Hinshaw, Michele Rivera",11-50,2,IPO,20000000,USD,20000000,Post-IPO Equity,2,2,Made Acquisitions,4,,,,,,,,,,,,2020-11-11,,,,,,HMBL,https://www.crunchbase.com/ipo/humbl-ipo--1fbb4657,OTCQB,,,,"7,425","7,403",,-0.8,-0.2,-1.7,2,"Engineering, Finance, Management, Marketing, Operations, Product",10,,"3,864","10,519",-60.76%,0,-61.7%,1,-16.26%,100%,24.1%,"3,386,466","1,441,015",74.07%,35,,,,,,,,,,,,
QA Wolf,https://www.crunchbase.com/organization/qa-wolf,20100000,USD,20100000,Active,QA Wolf gets engineering teams to 80% automated test coverage in under four months - and keeps them there - while guaranteeing zero flakes.,Venture - Series Unknown,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",QA Wolf is your modern QA team,2019-01-01,year,"Information Technology, Internet Services, Software","Cloud Data Services, Developer Platform, Information Technology, IT Management, Software",2022-09-07,20100000,USD,20100000,20100000,USD,20100000,"Inspired Capital Partners, Naval Ravikant, Sahil Lavingia, Austen Allred, Notation Capital",Private,,,,https://www.qawolf.com/,,,,,,,For Profit,https://twitter.com/QAWolfHQ,,https://www.linkedin.com/company/qa-wolf,hello@qawolf.com,,2,,,,,,,,,,,,,,,,,,,,3,"Jon Perl, Laura Cressman, Scott Wilson",51-100,1,,20100000,USD,20100000,Venture - Series Unknown,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,"7,433","7,411",,0.8,2.7,3.9,9,"Engineering, Management",16,,"21,342","35,704.33",-11.67%,573,32.95%,2.59,-27.15%,44.29%,27.49%,"1,229,062","55,947",4.77%,14,,,,0,1,,Scientific and technological services,,,,,
Amira Learning,https://www.crunchbase.com/organization/amira-learning,40341114,USD,40341114,Active,"Amira Learning offers an intelligent reading assistant that listens, assesses, and tutors.  Amira recommends appropriately challenging stories, listens as a student reads aloud, and intervenes when helpful. The company assesses oral reading fluency and analyzes errors to pinpoint strengths and weaknesses. Every time a student and Amira read together, Amira generates diagnostic reports that empower teachers and parents. It gives teachers more time to teach and gives students a more effective way to practice.",Venture - Series Unknown,"Las Vegas, Nevada, United States",Western US,"Amira Learning offers an intelligent reading assistant that listens, assesses, and tutors.",2018-01-01,year,"Artificial Intelligence, Data and Analytics, Education, Science and Engineering, Software","Artificial Intelligence, Education, Machine Learning",2022-04-22,19999992,USD,19999992,40341114,USD,40341114,"Houghton Mifflin Harcourt, Authentic Ventures, GSV Ventures, Vertical Venture Partners, Amazon Alexa Fund",Private,,,,https://www.amiralearning.com/,,$1M to $10M,,,,,For Profit,,,https://www.linkedin.com/company/amira-learning/,,,2,,,,,,,,,,,,,,,,,,,,2,"Mark Angel, Pete Jungwirth",11-50,5,,19999992,USD,19999992,Venture - Series Unknown,4,7,Made Acquisitions,1,,,,,,,,,,,,,,,,,,,,,,,,"7,435","7,413",,1.5,1.1,3.3,5,"Engineering, Finance, Information Technology, Management, Marketing, Medical & Science, Operations, Pro Services, Product, Sales",32,,"12,376","19,897",42.4%,156,-73.1%,1.3,-23.46%,82.7%,7.75%,"1,680,234","-399,388",-19.2%,38,2,"7,830",,0,2,,Scientific and electric apparatus and instruments,,,,,
Disclo,https://www.crunchbase.com/organization/disclo,6625000,USD,6625000,Active,"Disclo is a HIPAA compliant platform enabling employers to collect, verify, and manage employee health disclosures and accommodation requests. Disclo helps employees secure the enhancements and protections they need to succeed in their careers without having to disclose their underlying medical condition to their employer.",Seed,"Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US","Disclo is HIPAA compliant software for employers to collect, verify, and manage employee health disclosures and accommodation requests.",2019-05-07,day,"Administrative Services, Health Care, Professional Services, Software","Compliance, Human Resources, Medical, SaaS",2023-02-01,5125000,USD,5125000,6625000,USD,6625000,"Gaingels, General Catalyst, Y Combinator, Lerer Hippeau, Bain Capital Ventures",Private,,,,https://www.disclo.com/,"Southeast Asian Founded, Women Founded",,,,,,For Profit,https://twitter.com/letsdisclo,https://www.facebook.com/disclotime,https://www.linkedin.com/company/disclo/,hello@disclo.com,512-790-2710,3,,,,,,,,,,,,,,,,,,,,2,"Hannah Olson, Kai Keane",1-10,2,Seed,5125000,USD,5125000,Seed,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,"7,437","7,415",,-1.4,-1.7,7.8,7,,,,"4,022",,,387,,1.24,,75.78%,,"3,327,255",,,,,,,,,,,,,,,
Zomentum,https://www.crunchbase.com/organization/zomentum,17100000,USD,17100000,Active,"Zomentum is a team of thinkers, makers, explorers, and believers who’re passionate about what they do. They value everyone’s ideas and ship world-class products. They work hard and play even harder.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Zomentum is an MSP sales management tool that offers revenue management services.,2018-01-01,year,"Information Technology, Software","Enterprise Software, Information Technology, Software",2021-02-16,13000000,USD,13000000,17100000,USD,17100000,"Accel, Elevation Capital, Eight Roads Ventures, SAIF Partners",Private,,,,https://www.zomentum.com,"Women Founded, Women Led",,,,,,For Profit,https://twitter.com/zomentum,https://www.facebook.com/zomentumHQ,https://www.linkedin.com/company/zomentum,support@zomentum.com,1 415-903-6721,6,,,,,,,,,,,,,,,,,,,,2,"Rahil Shah, Shruti Ghatge",51-100,2,Early Stage Venture,13000000,USD,13000000,Series A,2,4,Made Acquisitions,1,,,,,,,,,,,,,,,,,,,,,,,1,"7,440","7,418",,5.3,5.9,5.2,7,"Engineering, Finance, Human Resources, Information Technology, Management, Operations, Product",18,,"19,727","25,514.17",-52.83%,331,-20.43%,2.33,23.72%,57.95%,-33.44%,"1,297,845","522,686",67.43%,62,,,31,,,,,,,,,
Lithos Carbon,https://www.crunchbase.com/organization/lithos-carbon,6290000,USD,6290000,Active,"Lithos Carbon is an agricultural carbon removal company that develops carbon capture technology for farms. It aims to convert farmland into carbon capture centers, removing a billion tons of CO2 from the atmosphere this decade while increasing crop yields. Lithos' technology, which was founded in March 2022 by repeat entrepreneurs and the world's experts in atmospheric geochemistry, provides an optimization platform that permanently removes CO2 from the atmosphere in human seasons rather than geologic millennia. Lithos' deployments are custom designed on a field-by-field and crop-by-crop basis to improve yield, protect crops, and improve soil conditions. They are cost-effective, immediately scalable, and empirically measured.",Seed,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Lithos Carbon is an agricultural carbon removal company that develops carbon capture technology for farms.,2022-01-01,year,"Agriculture and Farming, Manufacturing","Agriculture, AgTech, Farming, Industrial",2022-10-20,6290000,USD,6290000,6290000,USD,6290000,"Union Square Ventures, Bain Capital Ventures, Greylock, Fall Line Capital, Carbon Removal Partners",Private,,,,https://www.lithoscarbon.com,,,,,,,For Profit,https://twitter.com/lithoscarbon,,https://www.linkedin.com/company/lithoscarbon,,,4,,,,,,,,,,,,,,,,,,,,,,1-10,1,Seed,6290000,USD,6290000,Seed,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,"7,445","7,423",,4.4,3.2,7.8,14,Management,1,,163,,-97.53%,0,161.11%,1,-53.33%,100%,250.02%,"8,986,432","6,427,256",251.15%,11,,,,,,,,,,,,
Agtonomy,https://www.crunchbase.com/organization/agtonomy,22500000,USD,22500000,Active,Agtonomy is a hybrid autonomy and tele-assist platform for agriculture vehicles.,Seed,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Agtonomy is a hybrid autonomy and tele-assist platform for agriculture vehicles.,2021-01-01,year,"Agriculture and Farming, Manufacturing, Science and Engineering","Agriculture, Industrial Automation",2022-09-15,13500000,USD,13500000,22500000,USD,22500000,"Google Ventures, Village Global, Momenta, Toyota Ventures, Flybridge",Private,,,,https://www.agtonomy.com/,,,,,,,For Profit,https://twitter.com/agtonomy,,https://www.linkedin.com/company/agtonomy/,,,9,,,,,,,,,,,,,,,,,,,,1,Tim Bucher,11-50,3,Seed,13500000,USD,13500000,Seed,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,"7,453","7,431",,0.4,-0.2,3.6,5,"Engineering, Management, Operations",7,,"4,720",,,221,,2,,20.72%,,"3,099,923",,,3,,,,3,0,Vehicles In General,,,,,,
Teamflow,https://www.crunchbase.com/organization/teamflow-8d86,49900000,USD,49900000,Active,Feel like a team again with your own virtual office.,Series B,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Feel like a team again with your own virtual office.,2020-07-07,day,Software,Software,2021-07-26,35000000,USD,35000000,49900000,USD,49900000,"Menlo Ventures, Coatue, SVA, Battery Ventures, GTMfund",Private,,,,https://teamflowhq.com,,$1M to $10M,,,,,For Profit,https://twitter.com/getteamflow,,,support@teamflowhq.com,,1,,,,,,,,,,,,,,,,,,,,1,Florent Crivello,11-50,4,Early Stage Venture,35000000,USD,35000000,Series B,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,"7,459","7,437",,2.4,2.2,0,8,"Engineering, Management, Sales",5,,"16,943","15,416.83",25.81%,119,-46.64%,1.39,10.61%,65.22%,-15.36%,"1,413,609","-230,255",-14.01%,69,,,21,,,,,,,,,
Ratio Therapeutics,https://www.crunchbase.com/organization/ratio-therapeutics,40000000,USD,40000000,Active,,Series A,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Ratio Therapeutics is developing best-in-class radiopharmaceuticals for cancer patients.,2021-01-01,year,Health Care,Pharmaceutical,2023-02-01,20000000,USD,20000000,40000000,USD,40000000,"Schusterman Family Investments, Duquesne Capital Management",Private,,,,https://ratiotx.com,,,,,,,For Profit,https://twitter.com/Ratio_Tx,,https://www.linkedin.com/company/ratio-therapeutics,,,4,,,,,,,,,,,,,,,,,,,,,,1-10,2,Early Stage Venture,20000000,USD,20000000,Series A,2,2,,,,,,,,,,,,,,,,,,,,,,,2022-12-06,,,"7,460","7,438",,3.7,-0.5,8.2,10,Management,3,,"2,418",,,66,,2.33,,33.46%,,"4,369,644",,,,,,,,,,,,,,,
